Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e836e936dd36dd36d136d1360f370c37cb36cc36ee36ee36dc36dc3663365f36,a036a336e436e4361237103718371737133710371d371937e436e33607370837,e6fff6ff0000e2fff0ff0000feff1e00b6046c02c605b2f59cf4ea098607fefe,dc36db361b371937e136e3360d370e37903693361437193710371137e136e136
1,1,0,ec36eb36dc36db36d036d1360c370c37ce36cc36ef36f036dd36dd3664365f36,9f369f36083708371237123717371737153714371b371c37e336e436e5360837,d8fff6ff1000f2ffd0fff0fffefffeff340b20f64cf85a016afd8a08720aa4f4,da36dc3619371a37e336e0360e370d37923692361837173710371037e336e236
2,2,0,eb36ea36dc36db36d336d1360c370b37cc36cd3612371237de36de3664365f36,a036a136063706371037103716371637113714371c371c37e336e136e5360937,e6ffd8ffe2fff2ff0e0000000e00fefffc0192f7b2f5580b240af6faaefe6cfa,dc36dd361c371a37e136e0360e37ea36923693361a37173710371137e136df36
3,3,0,ec36eb36dc36db36d236d3360c370c37cc36cd36ef36ee36dd36de3662366136,9d369f36073706371237113717371737143713371c371c37e336e43608370a37,f6ff14000000f2fff0ff1e001e00feff9ef51605aa0146055208acf494f42408,dc36dc361b371b37e236e136eb36ea36913692361737183711370f37e336e336
4,4,0,ed36ec36d936db36d136d1360d370d37cc36cc36ed361337dc36dc3662366136,a0369f36073706371037103717371837123713371c371c37e236e43609370837,f6ff140000000000f0ffe0ffeeff0e0004f8640b480b0cf890fa1afeccfa520a,dd36db361a371937e336e3360f37eb3694369236173716370f371037e236e136
5,5,0,ec36eb36db36dc36d336cf360c370d37cd36cd36ed361337dc36dc3662365f36,a036a036073707371037103716371637123714371e371d37e236e43609370837,14001400f2ffe2ffe0ff0e00fefffeff96058401f604e2f5bcf4340a34084efe,dd36dc361a371937e336e3360e37e936923690361837193710371237e236e236
6,6,0,eb36eb36dc36db36d336d4360d370c37cc36cc36ef36ee36dc36de365f366436,9f36a036063707371237123717371737133711371b371e37e436e436e5360837,1400140000000000000000001e002e00340b8ef5ecf7da012afee207420a94f4,dd36dc361a371937e336e1360f370e37923692361637163711371037e236e336
7,7,0,ea36ec36dd36dc36d236d1360b370f37ce36cc36ee361437e036dd3663365f36,a0369f36063708371137113716371537123712371a371a37e336e4360937e636,1400f6ff000000000e000000feffdeff340174f8e2f57c0b640a80fa0efefcfa,db36dd361a371737e336e136ea360e3794369336173716370e370e37e336e336
8,8,0,ea36e936db36d936d236cf360c370d37ca36cb36ed361337de36de3663365f36,9f36a0360737073710370f37163715371437123719371a37e336e23608370737,f6ffe6ff1000f2ff0e00e0ff0e00feff8ef596058202b604d207bcf474f48408,dc36dc361a371b37e236e3360f37ea36943692361637193710371137e036e236
9,9,0,eb36ec36dc36dd36d136cf360e370d37cb36ca36ef36ef36de36de3661366236,9f369f36073706371137123716371637113710371d371a37e436e136e4360837,0400140000001000f0fff0ffeeff2e0084f8340b8c0b62f702fae6fe5cfb0a0a,da36db3619371a37e136e436ea360e37903692361637173712371037e436df36
10,10,0,ea36ea36db36d936cf36d1360d370a37cb36cc361537ee36dd36de3662366136,9f36a0360737073710371037183716371537143719371a37e036e136e536e536,f6ffe6fff2ffe2ff00000e00feff0e0058063401560412f6dcf4880aa4088efd,de36db3619371937e336e136ea36eb36913691361737183710371037e236e236
11,11,0,0f37ec36dd36dc36d136d2360d370c37cc36ce361337ed36dd36de3663366236,9f36a036083707370f37123716371437113712371c371e37e336e53608370937,f6ffc8ffe2fff2ffe0ff0000feff0e00140b4ef532f7d20236ff8207aa0954f4,dc36dc3618371a37e436e2360e37ea36943691361837173712370e37e236e436
12,12,0,e836e836db36d936d136d2360c370c37cd36cb36ee36ed36dc36dd3660366136,a036a136083707371037113718371637123710371e371a37e336e6360a37e436,f6ffc8fff2ffe2ff0e00e0ff1e00feffd400a4f862f67c0b880aa2f95efdc6fb,dc36de361c371a37e336e2360e37ea36923692361837173710371137e236e236
13,13,0,ec36eb36de36dc36d236d1360c370c37cd36ca36f036ef36dd36dc3662366136,9e36a136083707370f37123716371637123710371c371b37e236e4360a37e436,040014000000f2ff000000000e00eeff3ef57806020306045207ccf464f4e408,dc36dc3619371a37e236e2360e37e936943690361837173711371137e136e336
14,14,0,eb36ec36db36db36d236d2360c370d37cb36cd36ed361437dd36de3663366436,a0369f36e53608370f370f3715371637123711371c371d37e336e336e536e536,e6ff2200f2fff2ff0e00f0ff1e00feffcaf8140b8c0b02f7b2f996ff06fc8a09,dc36db361b371937e236e136e8360d37913692361737173710371237e336e436
15,15,0,e936ea36de36dd36d336d0360c370d37cb36ce36f036ee36dc36de3662366036,9f36a036073708371137113717371737113712371a371937e336e13607370937,04000400e2ff0000e0ff1e00feff0e00b8066400b603b2f6faf4780a2409c6fc,dc36dd361a371937e436e236eb36eb3695369336163718370f370f37e136e236
16,16,0,ea36ec36dc36dc36d136d0360c370e37cc36cb36ef361337de36dc365f366236,a0369f36083708371137113717371737133712371c371b37e336e236e4360837,2200140000001000e0fff0ffdefffeffe40a1ef5c2f68603d6ffe2066a09a4f4,dc36da3619371837e436e2360f370e37913694361537173710370f37e236e136
17,17,0,ec36ed36db36db36d336d1360d370d37cc36cc361337ef36dc36dd365f366336,a0369f36073706371137103717371637133711371b371b37e236e336e636e536,d8ff04001000f2ff0e000e001e00feff140054f9b2f68c0bee0a32f946fc66fc,db36dd3619371a37e236e1360d370f37933692361637183710371137e236e336
18,18,0,ea36ec36dc36dc36d436d2360c370c37cc36cd361237ec36dc36dd3660366036,9f36a136063707371237113716371837143712371d371b37e336e336e536e436,d8fff6fff2ff2000000000001e00feff0ef5f806b6039603d2063af584f46a09,dc36dc361b371937e336e336eb36e93692369136173717370f371037e336e236
19,19,0,0f37ec36dd36dc36d236d1360f370c37cd36ca36ec361237dd36dd3663366136,a1369f36063706370e37103716371637133713371c371c37e336e236e5360837,2200c8fff2ff000000000e00eeff0e00b4f9e40a7c0b92f602f9340096fc1409,dc36dc361b371a37e336e3360f37ea36913691361737183710370f37e336e336
20,20,0,eb36e936db36db36d236d4360d370b37cc36cd36ef36ed36e036dc3664366536,a036a136063707371037113715371737133711371b371c37e436e036e636e536,e6ffe6fff2ffe2ff0e000000feff0e00380780ff2203d2f62af5ee0a9a0916fc,db36dd361a371a37e236e1360d370e37913692361937173710371037e336e236
21,21,0,eb36ec36dd36db36cf36d2360c370f37cb36cd36ed361437de36dc3660366236,9f369e360737073711370e3716371737133712371c371c37e336e436e436e536,1400e6fff2fff2ff000000000e00feffc40aeef462f60604ac004606c40874f4,dd36de361a371a37e136e2360f37e936923691361837163710371037e336e036
22,22,0,e936ed36db36db36d136d1360c370d37cd36cc36ef36ee36dd36dc3661366036,a036a036073708371037113716371737143712371a371c37e436e336e536e536,04002200f2ff0000f0ff0e00feffeeff00ff14fa12f7ac0b2c0b92f8c6fbf6fc,dc36db361a371937e236e336ea36eb36933692361737193711370f37e036df36
23,23,0,ea36e936db36dc36d136d1360e370d37ca36cc36ef36ee36dd36de3664366236,9e36a236073706371137103716371537143713371b371c37e436e33607370a37,2200e6fff2ff00000e000000fefffeffbef468074604c202d6054af594f4ba09,db36dc3619371937e136e336eb36e936933692361837173711371037e336e036
24,24,0,e936ea36dd36db36d236d2360e370e37ce36cb36ef36ef36dc36dc3661366136,a0369f36073707371137103718371537153714371a371a37e436e33608370737,220014000000e2ff0e000000defffeff24fac40a8c0b22f672f80c017efdc408,db36dd3617371937e136e136eb36eb36933692361837173711371137e436e236
25,25,0,ea36eb36de36dc36d336d4360e370d37cc36cb36ef36ef36dc36dc3660366136,9f36a0360637073711370f3716371737133712371b371c37e336e2360937e336,04000400f2ff00001e001e00eeffeeffa807e0fe920252f78af55c0bfa096cfb,dd36dd3618371837e236e236ea360f37933692361637193710371037e236e336
26,26,0,0f37ec36dd36db36d336d4360d370e37cd36ce36ee36ed36de36dd3662366136,9f369f360637063711371137193714371437113719371c37e136e536e4360837,f6fff6ff0000e2ff0e001e00eefffeff840aaef422f696045c0178059408a4f4,db36dc361a371a37e036e236ec36ec36923691361837173710370f37e236e236
27,27,0,ea36ec36dc36dc36d336d2360b370c37cc36cd36eb36ef36de36dd3661366036,a036a136063707371037103715371637123714371c371a37e436e136e3360a37,2200e6fff2ff00000000f0fffefffeff90fe64fabcf7480b4c0b32f80cfbcefd,dc36db3619371a37e336e436ea360f3790369236183718370f371037e136e236
28,28,0,ed36ec36dc36db36d436d2360d370e37a636cc361237eb36df36dc3662366536,a0369f360737073710370f3715371637133711371a371c37e336e336e636e336,14000400f2ff20001e0000000e00deffaef4c807d604ba0178058af5a4f41a0a,dc36db3619371937e036e136ec36e936913691361937173711370f37e136e336
29,29,0,ec36ea36dd36db36d436d2360d370c37ce36cd36ef36ee36dc36dc3660366036,9f369f36073709371237103718371737143714371d371a37e336e2360a37e336,e6ff220000001000000000001e00eeffc4fa440a380be2f5e2f79c011efe3408,dc36dc361a371937e436e3360f37eb36913690361837163711371137e336e336
30,30,0,0f37ea36db36dd36d336d3360c370c37cd36cc36ed361537e036df3661366036,a136a136e436e3360f370f3717371637113713371a371a37e536e33608370837,f6ff220000000000f0ff1e000e000e00180840fe9a01ecf7baf53c0b420abcfa,dc36db361a371937e436e036ea360e3792369236183718370e370e37e336e336
31,31,0,eb36ea36dd36da36d136d1360d370d37cc36cd36ef36f036de36db3660366336,9e369e36063707371037113715371537143712371b371c37e636e43607370a37,2200f6fff2fff2ff0e0000000e00eeff340a8ef4b2f59605160238051408c4f4,dd36dc3619371937e236e036eb36eb36943693361737153711371037e136e036
32,32,0,ea36ec36dc36dd36d136d0360c370e37cb36cd36ee36ef36dd36de3660366036,9f369f36083708371037103716371637113712371c371c37e536e436e5360837,e6fff6ff1000100000001e00eeffeeffaefd14fb3cf8380b6c0b76f76cfaaefe,dc36dc3619371737e036e1360d370f3792369136193717370f371037e336e236
33,33,0,ed36ea36db36dc36d236cf360b370c37cd36cd361437ee36dd36dc3663366036,9f369e36073707371337103718371837153713371a371a37e236e436e636e436,04000400f2ff1000f0ff0000feffeeff7ef45808c6055a01c804eaf5b4f4920a,dc36db361a371a37df36e2360e37e93691369236193719370f370f37e136e236
34,34,0,ec36eb36db36dc36d436d3360c370c37cd36cc36ed36ed36de36db3661366336,9f369f36083708371137103716371637103712371a371b37e336e43608370937,14000400f2fff2ff1e000e000e00feff74fb140a180b92f546f776020effe407,db36dc361a371737e136e036ea360e37923691361737183711370f37e236e236
35,35,0,ea36ec36db36db36d136d4360b370c37ce36cd36ec361237de36dc3663366036,9f36a0360637083710370f3716371737123713371c371a37e336e33608370837,140004000000d2ff0e0000000e000e0088084efdea006cf80af65c0ba20a2cfa,dc36db361a371a37e036e1360e37ea36923691361837173710371037e036e336
36,36,0,ea36eb36dd36db36d236d1360d370c37cd36ce36f036ee36dc36dd3664366536,a036a0360737e4361137103719371637103713371a371a37e436e3360837e536,14000400f2ffe2ff00000e000e00feffc2098ef482f51606b60264047607f4f4,db36dd361b371b37e336e236e936ea36913691361837173710371137e336e336
37,37,0,ea36e936da36dc36d436d2360d370b37cb36cc36ee36ee36de36dd3662366236,a036a136093708371037103716371437123713371b371d37e236e43607370937,04000400f2fff2ff0e000000eeffeeff1efdfefbdef8280b5c0b46f7e0f91eff,da36dc361a371a37e136e1360d370e3792369236193716370f371037e336e336
38,38,0,eb36ed36dc36db36d136d2360c370e37cb36cc36eb36ed36dc36dd365f366136,a1369f36083708371137113718371837133713371a371c37e336e33608370837,f6ffe6ff100030000e00f0ff0e00eeff6ef4a8085606b00014046af6b4f4c20a,dd36dc361a371a37e236e1360e37e736903691361737183711370e37e136e136
39,39,0,eb36e936db36dd36d236cf360c370d37cd36cd361237ef36dc36dc3660366036,a036a036093707370f370f3716371437113712371a371b37e236e436e5360937,e6ffe6fff2fff2ff00000000feff1e00fefba209080b12f5f6f614036eff2607,db36dd361a371a37e336e136ec36ea3690369236183717370f370f37e336e436
40,40,0,ec36ea36dd36dd36d036d2360b370d37cc36cc36ee36eb36dc36dd3661366136,9f36a036e436e4361237103719371737113712371c371c37e136e4360937e536,e6ff22001000f2ff0e000e00feff0e00e8089efc60000ef95af65c0be20ad0f9,dc36dd3619371b37e136e236ea36eb36933691361737183710371037e136e236
41,41,0,ec36eb36dc36dc36d036d2360b370e37cd36cc361337ed36de36de3662366236,9f369e36073709371137103717371637133712371c371b37e236e43608370937,1400c8ff0000f2ffe0ff1e001e000e008209aef402f586065403e403f6062cf5,dc36dc3619371937e236e036ea36ea36933693361937183710371137e036e236
42,42,0,ec36eb36dc36db36d336d1360b370d37cb36cd361637ee36dd36df3662365f36,a0369f36073707371237103717371637113712371c371b37e436e33608370837,1400e6ff0000f2ff00000000eeffeeff6efc9efc2ef9f80a8c0bc6f670f90c00,de36dc361a371b37e436e1360e370f37923692361837183710371137e136e336
43,43,0,e936ea36dd36db36d336d4360a370c37cb36cb36ef36ee36de36de3664366236,9d36a1360837e4361137113717371737123712371a371a37e536e33609370837,e6ffe6ff0000e2ff0000e0fffeff0e008ef47209e60600007403c6f64cf5f20a,dc36da361a371b37e036e336ec36e93693369236143716370e371137e336e236
44,44,0,ec36e936db36db36d436d1360c370d37cc36cd361337f036dd36dc3663366036,9f369f360837073710370f37163716371137123719371c37e336e536e3360737,0400c8ff0000e2ff0000f0ffeeff0e00eefc0809e80a22f57af6c4035c007606,dc36dc361a371b37e436e236ea36eb36913692361737183710371237e336e136
45,45,0,ed36ec36da36dc36d436d3360c370937cc36cc361437ee36df36dc3660365f36,a1369e360737073710370e3716371737163713371b371b37e236e23608370937,14001400f2ffe2ff1e00f0fffeff0e00a209fefb64ff98f9f6f68c0b120bfaf8,dd36dd3619371937e336e436eb36e93693369136163716370f371137e336e436
46,46,0,ec36e936db36db36cf36d4360e370c37cd36cc3613371337dc36dc3660366136,9f36a036083708371037123719371737133714371c371d37e336e33608370937,0400f6fff2ff000000001e00feffeeffa8088ef4e2f436072404f40256066cf5,dc36dc3619371b37e236e036ea360e37923692361537163711371037e436e336
47,47,0,e836ec36dc36db36d436cf360c370d37ce36cd361337eb36e036de3661366036,9f36a036083708370f37103716371437143711371c371b37e136e43609370a37,d8ffd8ffd2ff100000001e00eeffeeff94fb3efde8f9b80a6c0b4af6aaf8dc00,dc36dc3619371837e136e336eb36eb36913694361837193710371037e136e336
48,48,0,ec36ec36dc36dd36d136d2360c370c37ce36cc36ee361437db36dd365f366236,9e36a036063707371137103717371937113712371a371c37e336e33607370837,e6ff0400f2ff00000e00f0ffeefffeff8ef4f409560714ffe60256f76cf5520b,db36dc361a371b37e136e336ec36eb3690369436193719370f371037e236e336
49,49,0,ed36eb36da36dc36d236d1360c370b37cd36ce361437ee36dc36de3661366036,9f36a1360737e4361037113715371737133714371b371b37e236e436e3360737,04001400f2ff000000000e00feff0e006efd6808880ab2f4eaf544040c01f605,db36db361a371937e436e236eb36eb36933693361837173711370e37e336e136
50,50,0,ec36ea36d936da36d336d3360e370d37cd36cc36ee361237dc36dc3660366136,a0369e36e33606371037103716371637143713371b371e37e436e236e5360b37,e6ff04000000d2ff0e00f0ff0e00feff040a44fbc4fef8f996f77c0b520b5af8,da36db361a371b37e136e4360d370e37933692361637193710371137e336e236
51,51,0,1037ea36dc36dc36d136d3360c370e37cc36cc36ef36ee36de36de3660366336,a0369f360737073711370f3716371737123711371c371c37e136e236e536e636,d8fff6fff2ff000000000000feff0e004808aef4d2f4c207f8044602b6059cf5,da36da3619371937e136e236ea360d37903690361737183710371137e336e236
52,52,0,e836ea36dc36db36cf36d3360e370c37cc36ce361337ee36dd36de365e366136,9f36a136093709371137103718371637143711371b371c37e136e236e536e536,e6ff0400f2fff2ff00000000eeffdefff4faeefda0fa880a6c0bfaf53af88201,db36dc361b371937e336e036ea36e936913690361837183710371137e336e336
53,53,0,e936ea36dd36da36d236d1360d370e37cc36cc36ed361237de36dc3660366136,a036a036063707371137103719371637113712371c371d37e436e23609370937,e6ffd8ffe2ff00000e000e000e000e008ef4440a220864fe1602d2f7ccf5420b,dd36dc361b371b37e136e236eb36e936923691361837183710370f37e236e336
54,54,0,eb36ed36dc36dc36d236d2360d370e37cb36cb36ee361337dc36dc365e366236,a1369f36073708371137103716371837143712371b371b37e236e336e5360b37,e6fff6fff2ff100000000000feff0e0060fe0808300ac2f49af51805c2017605,dc36dc361a371837e236e236ea36e93693369236183717370f371137e236e236
55,55,0,ed36eb36dc36d936d136d0360e370d37cb36cb36ee361337de36dd3662366236,9f369f36e536e33610370f3717371537113713371b371c37e336e23607370837,0400f6ffe2ffd2ff0e000000feff0e00240aa4fa24fee0fa12f85c0b520b1af8,dc36dd3618371937e336e436eb36ea3691369136163718370f371037e136e336
56,56,0,ec36ec36db36dd36d236d3360c370f37cd36cc36ee361437dc36df365d365f36,a0369d360837073710370e3716371837153711371d371c37e136e33608370737,1400f6ff0000e2ffd0ff00000e00eefff807aef4b2f44208a6057c01fe04ecf5,dc36dd361a371b37e136e236e8360f37913692361837173712371037e436e336
57,57,0,ec36eb36db36dc36d336d2360c370d37cd36cd36ef36ee36dd36dc3664366036,a036a036063706371137103717371837143714371a371d37e436e33609370b37,04000400f2ff0000f0ff00000e00eeff34fa90fe30fbf0095c0b9af5baf7f201,da36dc3619371937e236e3360e370d37913692361637183712371137e336e236
58,58,0,ec36ed36db36db36d036d0360b370b37cd36cc3614371337dd36de3661366136,9f36a036073707371037113716371637123714371b371a37e336e1360937e536,1400040000000000f0ff0000feffeeffbef4340a6208d4fd4c0152f82cf6820b,dd36da361b371a37df36e2360e370e37953693361637173710371037e236e136
59,59,0,ee36ea36d836dc36d236d1360c370d37cd36cd36ec36ed36de36df365f365f36,9f369f36073708371037113714371737133715371c371d37e336e43608370837,f6fff6ffe2ff0000000000000e000e0010ffa807e009d2f46af5b6057202be04,db36dd361b371a37e336e2360e370e37923692361837163710370f37e336e136
60,60,0,ed36ed36dd36dd36d536d1360c370d37cc36cd36ee361437dd36dc3661365f36,9f369e36093707371037113716371737143714371b371d37e336e336e536e436,f6ff0400f2fff2fff0ff0000eeff0e00b40a34fa34fd84fb62f80e0b520b4cf7,dd36dd3619371b37e336e336eb36e93692369236193719370f371237e136e336
61,61,0,ed36ed36db36db36d236d3360c370c37cd36cb361337ef36dd36dd3662366236,9f36a036083707371137113718371837153711371c371c37e236e436e4360737,0400e6ff0000f2ff0000e0ff1e000e007807aef4a2f4e00826060c016e043cf6,de36dd3619371837e336e0360e370e3792369436163717370f371037e236e136
62,62,0,e936ea36db36db36d336d2360d370c37cc36cc36ee361337de36e0365c366136,a036a0360837073710370f3718371637143714371d371d37e336e33609370937,e6ff1400e2ffe2fff0ff1e001e00eeffd4f960ff04fcb0093c0b7af5fcf6f202,dc36db361b371a37e236e1360e37e936923690361737173710371037e336e136
63,63,0,ed36eb36db36de36d236d1360b370b37cc36cc36ef36ee36de36dc365f365e36,a036a036083708371037103716371737143712371b371d37e436e236e436e536,f6ff04000000f2ff00000e00feff1e00cef4c40a3009f4fcac00b2f88cf6cc0b,dd36dc361b371b37e336e136eb36ea3690369236173717370e371037e336e236
64,64,0,ec36eb36db36dd36d436d1360c370f37cd36cb3613371437dc36dc3660366036,a2369f36083707370f37113716371737123714371b371a37e336e336e536e336,f6fff6fff2ff0000f0ff0e000e00feffe2ff18075009a2f44af5760614032e04,da36dc3619371a37e336e136ea36ec36933691361537183710371037e236e236
65,65,0,ed36ec36db36db36d536d3360f370e37cb36ca361537ee36de36dc365f366036,9e36a036e33607371037123716371937113713371c371c37e236e336e3360937,f6fff6fff2ff00000000d0ff1e00feffc40aa4f9a4fcf4fb02f93c0b820bfcf6,dc36db361a371b37e136e236eb360f37913694361637163710370f37e136e236
66,66,0,ea36ea36dc36db36d036d23612370f37ce36cb36ee361137dc36de365f366136,a036a036e436083711370f3716371837133714371e371d37e436e33608370a37,e6ffd8ffe2ff0000f0fff0fffeff0e00d8061ef5a2f45009c2060400ae039cf6,dc36dc3618371a37e136e2360f37ea36923693361537183711371137e236e136
67,67,0,ea36ec36db36db36d236d1360e370f37cc36cc36ef36ef36de36dc365f365d36,9f369f36073709371137103716371737133712371b371b37e436e536e536e536,0400e6ffe2ff000000000e000e000e0084f9440064fc7009fe0a3af5bcf67403,da36db361a371937e536e336ea36e936913692361637163710371137e136e336
68,68,0,ed36ea36dc36db36d336d2360e370f37cc36cb36ef36ed36dc36dc365f365f36,a0369f36083707371037113717371737133711371a371c37e436e1360837e536,f6ff0400100000000e00e0fffeffdeff1ef5e40a800934fcf6ff32f9bcf6720b,db36dc3619371a37e136e1360f37eb3692369236163718370f370f37e236e236
69,69,0,ea36ed36db36de36d236d1360d370e37ce36ce36ef361637df36de365f366036,a1369f36073708371137143717371537133713371c371c37e436e3360837e536,14001400f2ff00001e000e001e000e00740098062009c2f41af522070e044403,db36db361b371b37e336e136ec36ea3692369236163715370f371037e236e236
70,70,0,ea36ec36dd36db36d136d2360e370d37cd36ce3613371437dc36de365f366236,9e369f36073707371237103719371437113715371d371c37e436e4360837e336,f6ff14000000e2ff0e00f0ff0e000e00040bd4f8e4fbc4fc92f9de0a720b7cf6,dc36db361a371b37e336e336eb360f37933692361537173711371137e236e336
71,71,0,ea36eb36dd36db36d136d2360e370d37cc36ca361337ee36dc36de3661366236,9f369d36073708370f37153717371837113715371c371c37e236e536e5360737,0400f6fff2fff2ff0e00e0ff1e000e0048061ef5a2f4b009620786fff4021cf7,dc36db361a371937e336e236e936ec36943692361837163711370f37e336e136
72,72,0,e836ec36db36d836d336d1360f370e37cd36cc36ef361537db36dd3660365f36,a1369e36e43608371037103718371637113712371b371b37e336e3360937e636,14000400f2ffe2ff0e0000001e000e00b4f8c40014fd0009980adcf46cf61e04,db36dc3619371837e136e136ea360e37933692361737183710371137e236e136
73,73,0,ed36ec36db36da36d536d1360c370c37cc36cc361337ef36dc36dc3662366236,9e369e36073709371237103716371637133713371b371b37e536e2360937e536,f6ff0400f2fff2ff0e00f0fffeffeeff6ef5240bd009b4fb26ffe2f93cf7820b,dc36db361b371b37e336e336ec36ea36923692361737173711371137e336e236
74,74,0,ea36e936db36dc36d336d2360e370d37cd36cc3614371337db36dc3660366236,a0369f36083706371137123716371837103715371a371937e536e23607370937,04000400e2ffe2ff00000e00fefffeff5401f605b00882f4bcf4a2076e049202,dc36db361a371937e136e1360e370f37923691361837173713371037e436e436
75,75,0,ec36ed36dc36db36cf36d1360e370b37cc36cc36ee36ed36dd36dc3662366036,9f36a136083707371237103718371537113713371e371a37e136e336e536e336,0400f6ff0000f2ff1e000e00feffdeff140b34f840fbc4fd12fa880a920b4cf6,d936dc3619371a37e436e1360d370e37923691361937193711371037e236e136
76,76,0,ea36ea36dc36d936d136d2360d370f37cc36cc3612371537de36dc3660366236,9f36a136063708371237103716371737143713371d371b37e536e43607370a37,0400f6ffe2ff00001e000e00fefffeffa6056ef5b2f4f009a207d6fe22026cf7,db36db3617371937e336e136ea36e936903693361837193710371137e236e336
77,77,0,eb36eb36dc36db36d336d1360c370d37cb36cd3612371237db36dd3663366136,a036a0360837083711370f3716371437113713371a371d37e236e43609370737,e6ffd8ffe2ff10001e0000001e00feff24f8a401f4fd6208280abcf40cf6be04,dc36d9361b371837e136e2360e3710379236913619371a370f371037e436e336
78,78,0,eb36e936dc36dc36d636d2360b370d37cd36cb36ed361437dc36db3663366136,9e36a036073708371137103716371637113712371c371e37e536e336e536e536,d8ffe6fff2fff2ff00000000feff1e00aef5340b000ae0fa3afe90facaf7520b,dd36dd361b371a37e436e336eb36ea36923692361637173711371037e336e136
79,79,0,ec36ec36dc36dc36d236d2360d370c37cc36ce36f036f036df36df3661366136,9f36a1360937073710370f3714371737143711371c371d37e436e236e536e536,e6ff1400f2ff10003e000e00fefffeff180266053208c2f49cf402085605d201,da36dc361a371b37e336e1361037ea36933694361937193710371137e236e336
80,80,0,eb36ed36d936dc36d336d4360e370d37cc36cc36ed36ef36dc36dc3661366236,a036a1360837083711370f3716371737143712371b371d37e336e336e5360937,04001400e2ff100000000e00feffeeff440b04f8c0fa64fee6fa140a620bccf5,da36dd3619371a37e236e136e9360d379236933616371a3713370f37e136e136
81,81,0,ec36ed36db36da36d036d5360c370d37cd36cc361137ef36dd36de3660365e36,9f36a136093707371037113716371737123712371d371c37e436e336e5360837,04002200f2fff2ff0e000e000e000e00f60420f6d2f4400a52080afeb2010af8,dc36db361b371a37e236e036e9360e37913693361837173710371337e236e136
82,82,0,ea36ec36dc36dc36d336d1360c370d37cd36cc36ef361537dc36dd365e365f36,9e369f360637083710371137173716371437133719371d37e436e43608370937,0400c8ff0000000000000000eefffeff72f72c0284fee207da09dcf4ccf55605,da36dc361c371b37e336e036ea360f37933691361737193710371037e336e336
83,83,0,eb36ec36db36dd36d336d4360d370e37cd36cc361537ec36de36dd365e365e36,a036a1360837063710370e3716371737143712371b371b37e136e4360837e536,d8fff6ffe2fff2ff00000000eeff0e0020f6540ba80a38fa9afd46fb6af8220b,dc36dc3618371a37e136e236ec36eb369236923618371a3710371137e336df36
84,84,0,ec36ed36db36db36d236d1360c370e37cb36ce36ed36ee36db36db365e366036,9f369e36e43607371137103718371637123713371c371d37e536e436e536e536,22003200e2ffe2ffe0ff0000feffeeff8c02b6047607b2f49cf4aa08f6051c01,dc36dd361a371737e136e036eb36eb36913693361a37163711371037e336e236
85,85,0,ed36ea36dc36dd36d236d2360d370937cc36cd36ee36ed36dd36dd3661366236,a1369f36e43607371237103717371837113713371a371c37e336e436e4360837,f6ffd8ff0000f2ff0e000000fefffeff740b22f708faf4fe86fbca09420b9cf5,dd36dc361a371937e036e236ea36eb3690369336173718370f371137e236e336
86,86,0,ec36eb36dd36dd36d236d3360e370d37cc36cb361537ee36dd36df3661366136,9f36a13608370a371437143717371637123713371e371b37e236e43607370737,f6ff04000000000000000e00fefffeff660442f6c2f4a80ada085afddc00aaf8,db36dc3619371a37df36e1360e370d37923692361737183711370f37e436e236
87,87,0,ea360f37d936da36d136d2360b370d37cd36cd36ee36ee36dd36dc365f366436,9f369f360637093711370f3715371637103713371c371c37e336e2360737e236,1400f6ff000010001e000000eefffefff2f6ac0234ff46078a09acf47cf54606,dc36db3619371937e136e2360f370e37913692361837173711371137e536e336
88,88,0,e936ed36dc36dc36d236d3360c370c37ce36cc361337ee36dd36dd365e365f36,a0369e36073706371137103716371737143712371e371a37e436e4360a370737,0400e6ffe2ff10000e000000feff0e0092f6540bd80a98f91afdd6fbcaf8120b,dc36db3619371937e236e336e936e93693369236193719370e371137e136e236
89,89,0,1037eb36da36db36d136d5360d370d37cd36cd36ec361137df36de3661365d36,a236a036063707371137113715371637113712371d371c37e436e33607370737,0400e6ff1000f2fff0ff0000fefffeff1c0316041607d2f4acf4ea0856069c00,dc36db3619371a37e336e3361037ea368f3690361937163710370f37e136e436
90,90,0,eb36e936db36dc36d336d4360d370c37cc36cd361437ed36de36dd3662366036,a036a136e43608371237113714371637113711371c371c37e436e33609370837,0400f6ff0000e2ff0e001e00fefffeff640b02f768f9ceff16fc5a09f20a3cf5,dc36dc3618371a37e036e236eb36e8369136923619371a370e371137e136e136
91,91,0,ea36ec36db36db36cf36d3360d370e37cc36cd36ed36ee36dd36dc365f365e36,a1369f36073708371037113716371637143712371b371d37e336e5360937e636,e6ff04001000000000000000eeff1e008c03d2f612f5d80a4a09bafc3c00faf8,dc36da3619371a37e336e136e9361037933693361737183711371137e436e036
